Position X,Position Y,Position Z
450.27,1274.61,27.5122
473.937,1297.82,27.1278
448.4,1269.55,28.0295
451.878,1270.68,28.1399
467.118,1288.64,28.1985
482.345,1305.4,28.4115
511.398,1238.46,27.768
521.984,1240.56,27.2811
528.369,1242.83,27.6123
528.541,1246.79,26.9316
533.92,1248.92,27.0939
532.112,1266.23,27.422
524.494,1268.93,27.7581
526.232,1301.56,27.5707
544.925,1307.45,28.5513
205.544,1373.19,27.0741
220.821,1333.71,27.7049
238.383,1349.84,27.0857
256.962,1352.15,27.0171
221.864,1366.56,27.3294
278.346,1353.45,27.7813
292.858,1309.92,27.6183
346.934,1313.9,27.0679
351.599,1314.21,26.9048
328.717,1315.11,27.5177
324.741,1317.79,27.489
306.328,1349,26.8792
327.139,1351.44,27.1114
322.745,1354.22,27.3947
358.161,1356.31,25.4474
324.228,1368.94,26.7605
309.323,1369.4,27.5135
294.632,1336.36,28.5405
366.197,1308.03,27.7058
368.332,1331.53,27.1978
372.305,1335.21,27.0346
401.671,1359.14,26.9903
387.103,1374.8,27.2421
443.898,1323.82,27.5631
487.771,1337.73,27.2354
475.715,1340.02,27.3279
542.57,1335.02,27.8348
527.462,1342.67,27.8855
516.519,1309.93,28.2317
510.319,1325.52,28.007
376.769,1382.95,26.9368
677.059,953.998,27.3269
687.843,964.126,27.2443
673.549,1013.88,27.1717
690.256,957.028,27.9575
206.907,1066.75,27.2735
202.355,1078.49,27.6075
183.99,1086.52,26.9115
233.885,1025.58,27.3793
263.461,1078.73,27.183
326.594,1089.77,27.6605
389.431,1022.46,27.4864
399.41,1031.07,27.4466
391.519,1051.22,27.17
366.823,1054.48,27.1549
450.546,1025.37,27.6756
436.938,1027.81,27.4875
502.315,1050.16,27.6631
450.547,1062.88,26.8883
490.645,1071.19,27.2702
534.308,1018.92,26.9311
533.159,1024.62,27.4861
526.126,1070.57,27.4339
560.43,1085.31,26.9717
566.003,1063.2,28.55
521.456,1068.44,28.2196
643.125,1071.83,27.5068
136.747,1129.66,27.6282
226.952,1142.52,27.088
240.96,1152.02,27.5111
307.223,1123.78,27.1226
352.447,1131.88,27.5475
367.608,1104.54,27.7813
500.632,1125.65,27.5772
452.929,1134.92,27.6404
472.446,1144.49,27.5137
500.228,1152.07,27.0267
442.899,1159.92,27.4956
479.455,1115.14,28.0728
550.403,1123.05,26.9576
519.041,1125.24,27.8606
538.656,1126.37,27.424
542.038,1130.58,27.586
508.847,1130.93,27.6898
551.446,1143.43,26.7249
560.88,1143.31,27.2992
538.684,1160.71,27.955
602.858,1124.14,27.1737
594.297,1108.55,27.734
871.436,1116.48,28.8297
878.172,1106.74,29.3706
885.218,1108.49,29.1421
883.958,1113.29,29.2612
880.356,1123.89,29.082
194.844,1170.9,26.9699
181.192,1175.57,27.2292
203.158,1189.55,27.2644
