Position X,Position Y,Position Z
431.58,1479.26,-21.2465
392.801,1493.35,-21.288
366.948,1497.08,-21.3468
402.83,1462.14,-20.5759
390.093,1463.63,-20.118
420.53,1488.68,-20.0267
409.782,1490.86,-20.8234
429.765,1517.88,-20.6982
385.394,1467.61,-19.9577
382.699,1471.56,-19.9066
471.737,1460.27,-22.5586
445.03,1488.1,-21.2456
481.714,1460.02,-20.6168
460.886,1462.73,-20.5143
452.356,1469.8,-19.7349
69.3939,1534.55,-21.355
19.8408,1546.24,-21.2689
44.2802,1558.54,-21.204
15.5374,1536.68,-20.7721
1.81358,1540.56,-20.3303
25.7267,1555.8,-20.4482
14.9597,1586.5,-20.4495
6.18875,1587.73,-20.8284
44.1779,1598.26,-20.9717
76.6984,1578.84,-22.7376
93.1235,1586.84,-22.7976
76.6501,1526.88,-20.9813
119.146,1528.8,-20.9115
135.29,1543.33,-21.2413
105.967,1561.73,-21.5724
111.191,1563.91,-21.629
132.6,1583.87,-21.4386
134.428,1590.98,-21.2578
107.762,1537.46,-20.2322
132.85,1569.14,-20.7175
124.405,1578.47,-20.5539
171.287,1546.94,-21.9591
156.555,1547.22,-22.2089
152.642,1573.65,-22.4077
196.482,1527.95,-21.1486
183.653,1555.63,-21.3113
172.925,1559.31,-21.6866
193.059,1571.09,-20.8402
173.112,1596.86,-21.5442
146.751,1572.46,-20.5425
200.219,1572.68,-20.5789
212.247,1577.99,-20.3974
184.862,1596.16,-20.6511
285.66,1533.27,-22.0841
273.476,1559.31,-20.9686
265.855,1565.89,-21.3025
274.941,1529.08,-20.1013
362.341,1576.95,-22.3837
340.621,1575.44,-21.9048
318.795,1552.46,-20.3145
315.508,1573.34,-20.6564
306.236,1575.83,-20.2212
393.21,1533.57,-21.6653
5.37307,1602.64,-19.1388
14.0727,1620.57,-19.7907
82.2324,1622.35,-22.8246
128.841,1625.71,-22.0755
92.4887,1638.29,-22.5781
144.381,1669.44,-22.2483
73.8263,1631.23,-21.3115
75.1627,1604.68,-20.4652
121.775,1613.05,-19.9902
145.005,1605.04,-19.3817
152.114,1599.99,-21.6508
186.394,1648.06,-21.5871
206.196,1624.68,-20.0656
282.391,1631.23,-19.848
265.063,1669.89,-20.0826
240.346,1611.26,-19.732
302.95,1658.38,-21.772
344.255,1668.04,-20.0631
400.21,1628.33,-21.8018
416.545,1612.92,-20.1509
363.524,1653.45,-20.6037
308.333,1677.86,-20.5266
316.037,1685.28,-19.9785
463.304,1322.56,-22.6088
457.402,1340.93,-22.2999
464.566,1374.68,-21.9772
481.384,1323.02,-20.9556
452.869,1325.96,-21.0367
490.777,1329.4,-21.6617
476.488,1340.51,-21.4214
463.296,1341.08,-20.9876
455.188,1367.29,-21.7213
439.914,1370.12,-21.1129
447.92,1373.65,-21.6071
474.871,1317.05,-20.7724
451.684,1353.05,-20.4626
467.773,1359.02,-19.9668
537.682,1348.2,-21.0298
511.95,1332.85,-20.6947
23.6995,1451.17,-22.9506
65.4058,1389.75,-21.2957
50.4586,1426.85,-21.2967
31.6245,1435.51,-21.3175
49.0744,1445.81,-20.8162
141.523,1390.42,-22.0224
117.195,1409.06,-21.3117
109.521,1430.36,-21.6883
114.11,1404.33,-20.8074
169.92,1385.47,-22.016
201.735,1424.71,-23.2683
175.272,1452.67,-22.3869
149.298,1453.39,-22.7026
176.691,1401.63,-21.8619
175.404,1418.1,-21.429
160.793,1421.74,-21.6132
207.825,1434.82,-21.0422
167.323,1446.28,-21.8965
189.405,1452.81,-21.4336
159.727,1411.22,-20.7248
199.783,1424.6,-20.7873
164.134,1429.55,-20.4363
189.887,1441.41,-20.1133
216.676,1442.41,-19.8933
158.305,1447.91,-20.9895
269.511,1430.52,-21.9335
256.171,1445.58,-22.8611
224.383,1420.65,-21.5663
288.096,1430.69,-21.0579
273.856,1433.01,-21.0955
278.818,1445.86,-22.0431
357.748,1384.22,-22.0247
342.685,1403.99,-21.8144
327.66,1404.72,-22.0695
354.635,1417.26,-21.7476
340.438,1418.66,-22.3056
351.223,1400.19,-21.3416
326.694,1422.26,-21.8946
336.653,1425.86,-21.6141
327.852,1441.69,-21.6039
315.2,1405.98,-20.1766
330.356,1407.52,-20.7587
333.948,1419.81,-20.8047
353.194,1439.33,-21.5468
343.262,1441.5,-20.7566
304.028,1448.29,-20.8124
350.128,1445.95,-21.2721
334.848,1450.41,-20.385
338.872,1451.09,-20.0925
361.688,1420.11,-19.8246
416.059,1404.92,-23.4319
414.506,1420.72,-21.7121
416,1429.66,-22.4119
388.209,1422.88,-21.1185
368.731,1428.86,-21.1141
413.333,1433.55,-21.412
364.226,1437.51,-21.4261
368.242,1442.28,-20.9573
406.172,1453.26,-21.5234
417.361,1385.03,-20.6506
393.967,1393.43,-21.5569
419.867,1399.37,-19.9263
410.183,1400.17,-20.3718
379.264,1409.79,-20.2965
372.908,1429.9,-20.1793
422.724,1434.55,-20.9939
390.131,1417.6,-19.8349
488.683,1399.74,-21.0272
438.691,1402.21,-21.3677
495.291,1404.67,-21.5837
474.422,1442.77,-21.127
461.475,1448.09,-21.1061
473.547,1382.59,-20.4908
497.932,1395.15,-20.1273
447.779,1397.23,-20.7382
489.654,1410.42,-20.8788
500.782,1420.92,-19.9464
486.384,1424.15,-20.3764
16.3423,1470.23,-22.4402
63.9634,1491.68,-21.078
4.38559,1507.21,-21.3337
32.8287,1508.96,-21.6931
6.54656,1517.01,-21.0279
5.37725,1465.07,-20.1898
31.3556,1470.89,-20.7826
60.4533,1514.88,-20.2713
48.3476,1491.31,-19.6349
139.658,1467.52,-22.1599
143.422,1480.43,-22.1703
101.677,1458.13,-21.1152
128.432,1469.06,-21.3512
109.326,1475.39,-21.5976
84.247,1475.85,-21.4171
113.094,1494.02,-21.2026
91.9634,1495.38,-21.0677
103.768,1473.65,-20.8482
138.042,1502.42,-20.5958
120.038,1518.57,-20.5997
123.68,1522.62,-20.123
129.934,1511.57,-19.8714
120.831,1512.1,-19.8525
196.542,1463.44,-22.943
213.579,1470.59,-21.9878
175.575,1464.91,-22.1862
152.065,1471.19,-21.2353
165.928,1480.79,-21.0846
216.328,1498.68,-21.5946
185.214,1512.7,-21.7271
189.164,1521.09,-21.1486
172.051,1523.28,-21.4764
204.768,1466.24,-20.7906
207.804,1520.17,-20.8604
247.287,1466.32,-22.307
288.952,1469.64,-22.0997
246.34,1524.2,-22.9535
263.519,1476.14,-20.9364
285.244,1491.38,-21.3595
225.158,1501.87,-21.4555
240.171,1472.91,-20.5958
268.208,1473.5,-21.0695
221.069,1480.41,-20.5092
286.315,1483.29,-20.7126
255.807,1488.57,-20.2632
226.853,1511.93,-20.5753
279.298,1519.23,-20.8184
299.764,1466.24,-22.0604
321.936,1487.96,-22.9896
303.643,1499.51,-22.5814
334.345,1462.98,-21.1507
361.966,1464.16,-21.2728
346.296,1491.97,-20.6355
294.752,1498.66,-21.32
312.826,1510.46,-20.9839
302.8,1461.96,-20.017
309.957,1472.72,-20.1424
350.987,1481.15,-20.0695
293,1492.41,-21.1164
335.032,1494.63,-20.7806
295.968,1520.99,-20.7749
347.679,1521.55,-20.2462
336.783,1523.89,-20.5685
301.818,1525.11,-20.2875
355.23,1467.53,-19.5432
336.035,1479.55,-19.0577
376.758,1466.33,-22.3304
369.244,1484.88,-21.9963
421.78,1503.65,-21.3992
379.157,1459.8,-21.3627
369.266,1474.69,-21.389
420.61,1479.15,-21.0108
270.664,1191.43,-20.348
232.256,1220.97,-20.6784
300.48,1197.72,-22.0867
350.474,1216.85,-23.0988
358.562,1220.36,-22.5069
303.48,1164.03,-21.2661
332.935,1166.77,-21.2973
308.326,1174.37,-21.4778
297.328,1190.87,-21.646
329.386,1190.91,-21.5288
341.996,1190.84,-21.7767
344.76,1194.3,-21.2913
330.026,1218.38,-21.095
331.809,1225.49,-21.4028
327.947,1229.35,-22.1354
356.743,1179.01,-20.7543
311.921,1212.15,-21.0094
399.652,1182.78,-22.0173
398.452,1190.09,-22.2649
429.082,1229.38,-22.8568
382.009,1164.39,-21.3763
398.718,1168.36,-21.9459
415.065,1174.02,-21.6493
366.471,1178.95,-22.1123
388.465,1187.98,-20.9052
403.53,1206.82,-21.7566
447.092,1192.05,-23.3678
464.412,1198.83,-21.8643
436.936,1232.48,-22.5482
490.169,1179.78,-20.8157
508.129,1230.52,-21.6243
524.387,1220.69,-22.6981
548.363,1229.1,-22.3097
529.908,1168.29,-21.1549
536.585,1168.9,-21.5401
576.54,1176.35,-21.6132
564.583,1184.88,-21.1191
560.546,1202.2,-21.237
545.262,1208.3,-21.4849
509.556,1166.35,-20.8437
556.977,1227.6,-20.0112
543.298,1230.01,-21.4388
536.715,1231.68,-20.5963
47.3634,1276.87,-22.4832
34.9771,1306.21,-22.6765
56.2271,1268.37,-21.6512
30.9275,1281.13,-21.9078
33.7318,1292.57,-21.5768
11.5724,1276.81,-20.4199
118.919,1251.36,-22.0454
111.425,1280.84,-22.8758
73.798,1286,-22.4931
129.049,1297.87,-22.7504
132.957,1300.8,-22.7806
93.6055,1237.26,-21.1416
114.973,1262.99,-21.7326
73.4374,1274.95,-21.6062
112.216,1293.21,-21.4345
178.606,1247,-22.5278
198.736,1250.81,-22.3048
155.716,1267.73,-22.6569
187.76,1269.82,-22.4725
148.336,1273.56,-22.685
188.125,1248.39,-21.6373
201.107,1255.56,-21.427
163.993,1278.58,-21.7302
203.162,1281.91,-21.1115
204.755,1288.99,-21.7168
216.585,1298.9,-22.009
177.64,1301.71,-21.4879
175.158,1275.34,-20.7614
233.067,1269.36,-23.4117
237.659,1271.2,-22.3528
252.899,1272.47,-22.5236
278.015,1274.89,-22.4621
228.702,1301.36,-22.5248
257.15,1256.87,-21.9123
270.585,1277.22,-21.5375
236.63,1298.09,-21.7521
347.008,1278.75,-22.1011
360.935,1235.29,-21.1655
291.26,1249.88,-21.9096
323.826,1264.23,-21.4359
353.549,1276.9,-21.2827
295.889,1281.44,-21.944
328.521,1283.92,-21.6136
301.071,1305.36,-21.7547
333.422,1253.03,-20.5082
328.524,1254.98,-20.8127
301.35,1301.08,-20.1333
358.904,1307.46,-20.7064
402.842,1248.51,-22.2574
420.358,1266.2,-22.2241
409.247,1285.77,-22.1471
389.656,1288.36,-22.809
390.777,1298.52,-22.624
424.995,1260.26,-21.8102
415.078,1286.87,-21.6551
373.32,1263.34,-20.0156
393.048,1290.6,-20.7115
411.41,1291.14,-20.0585
411.817,1303.66,-20.2673
453.684,1242.12,-21.9109
439.566,1265,-21.9857
449.682,1283.36,-22.2585
490.222,1292.64,-22.8327
506.029,1284.05,-21.5322
465.734,1295.22,-21.4528
460.408,1296.13,-21.6021
487.036,1305.36,-21.2163
505.347,1260.69,-20.3703
515.532,1276.29,-21.3888
